"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"48720";"Q4352947";"tt1704294";"0";;"Breakout";"0"
"50167";"Q17113543";"tt2932120";"0";;"Marriage Boot Camp: Bridezillas";"0"
"50215";"Q16958558";"tt2318209";"0";;"Twist of Fate";"0"
"51256";"Q30166600";"tt0337777";"0";;"Plan B";"0"
"51301";"Q1032824";"tt10596912";"0";;"Hal a tortán";"0"
"52169";"Q2008579";"tt1534083";"0";;"Inspector Winter";"0"
"54993";"Q2204354";"tt3773880";"0";;"Viidakon tähtöset";"0"
"57243";"Q39243484";"tt0436992";"0";;"Doctor Who";"0"
"59186";"Q2029180";"tt2100976";"0";;"Impractical Jokers";"0"
"59202";"Q7997467";"tt2693892";"0";;"Who the (Bleep)...";"0"
"59234";"Q3457238";"tt1663737";"0";;"Escola pra Cachorro";"0"
"60750";"Q18162701";"tt2861610";"0";;"The Widower";"0"
"60768";"Q16845238";"tt2168240";"0";;"Bounty Hunters";"0"
"60913";"Q18389387";"tt3559912";"0";;"The Carbonaro Effect";"0"
"61880";"Q18150195";"tt2276413";"0";;"Garfunkel and Oates";"0"
"62320";"Q18150372";"tt3609352";"0";;"Grace and Frankie";"0"
"62451";"Q360486";"tt0136650";"0";;"Üzenet a jövőből - A Mézga család különös kalandjai";"0"
"62598";"Q7998300";"tt2191567";"0";;"Wicked Tuna";"0"
"62648";"Q122831822";"tt4679468";"0";;"Wall Street Week";"0"
"62760";"Q15613907";"tt2886812";"0";;"Played";"0"
"62792";"Q16854695";"tt3441810";"0";;"Some Assembly Required";"0"
"63821";"Q1238836";"tt0166931";"0";;"Pom Pom meséi";"0"
"64489";"Q19954641";"tt4651812";"0";;"No Activity";"0"
"64978";"Q7997671";"tt2919910";"0";;"Whose Line Is It Anyway?";"0"
"65049";"Q18636627";"tt4512380";"0";;"Survive the Tribe";"0"
"65682";"Q19399952";"tt5154982";"0";;"Sister-In-Law Is at Home!";"0"
"65715";"Q27536502";"tt5637842";"0";;"The Rap Game";"0"
"66014";"Q23136778";"tt2152112";"0";;"My 600-lb Life";"0"
"66111";"Q21120333";"tt5827092";"0";;"Macross Δ";"0"
"66406";"Q21028807";"tt3557112";"0";;"Les Beaux Malaises";"0"
"68198";"Q16654767";"tt2276589";"0";;"The Jungle Bunch: News Beat";"0"
"68461";"Q919321";"tt7033102";"0";;"Blonde Jeanie";"0"
"69511";"Q41904338";"tt6127960";"0";;"Professor T.";"0"
"69906";"Q2921731";"tt0478399";"0";;"Boule et Bill";"0"
"70525";"Q16299261";"tt4412686";"0";;"What Happens to My Family?";"0"
"70616";"Q29349766";"tt11447772";"0";;"Spell Keepers";"0"
"71347";"Q24833788";"tt6175760";"0";;"My Sassy Girl";"0"
"71680";"Q29578349";"tt6710836";"0";;"Spirit: Riding Free";"0"
"71686";"Q11272376";"tt0497856";"0";;"La Liga del Dragón";"0"
"71866";"Q30611639";"tt6495880";"0";;"Paula";"0"
"73765";"Q1648005";"tt1820922";"0";;"Fantaghirò";"0"
"74274";"Q26944205";"tt7172670";"0";;"Azja Express";"0"
"74939";"Q45751074";"tt7573686";"0";;"Erased";"0"
"76671";"Q3311904";"tt0303421";"0";;"Ana y los 7";"0"
"78584";"Q6443040";"tt0931887";"0";;"Hermanos y detectives";"0"
"79413";"Q65090038";"tt8629150";"0";;"The Weekly";"0"
"80715";"Q5452076";"tt8461250";"0";;"Firing Line with Margaret Hoover";"0"
"80719";"Q47092329";"tt8534662";"0";;"100 días para enamorarse";"0"
"80763";"Q30020681";"tt7038964";"0";;"Три кота";"0"
"81440";"Q7832449";"tt6293468";"0";;"Traffic Cops";"0"
"81740";"Q50183871";"tt8060752";"0";;"Exatlón México";"0"
"82131";"Q21526210";"tt5151004";"0";;"Gonul";"0"
"82343";"Q101580055";"tt9549930";"0";;"Joanna Lumley's Silk Road Adventure";"0"
"82681";"Q55635145";"tt5473364";"0";;"The Cry";"0"
"82708";"Q18011913";"tt4469214";"0";;"The First Years";"0"
"83609";"Q30527725";"tt12098700";"0";;"Tree House Kids";"0"
"85766";"Q2586169";"tt1331259";"0";;"Wissen vor acht";"0"
"85771";"Q21693720";"tt4250064";"0";;"Heel Holland Bakt";"0"
"86054";"Q55012555";"tt5634988";"0";;"Murder Among Friends";"0"
"86226";"Q4253907";"tt0449500";"0";;"Ландыш серебристый 2";"0"
"86500";"Q60741474";"tt8299892";"0";;"The Greatest Dancer";"0"
"89649";"Q64733576";"tt10591424";"0";;"From Survivor to Healer";"0"
"91068";"Q4920511";"tt6821884";"0";;"Inspector Black Cat";"0"
"91463";"Q85751667";"tt7728082";"0";;"Chasing the Moon";"0"
"92053";"Q65069236";"tt10327830";"0";;"For Life";"0"
"92829";"Q66588942";"tt10732758";"0";;"Til Death Do Us Part";"0"
"92878";"Q107208749";"tt9702106";"0";;"Sergio Ramos";"0"
"92968";"Q7729989";"tt10810428";"0";;"The Devil You Know";"0"
"93287";"Q55635222";"tt7569576";"0";;"The Flight Attendant";"0"
"93832";"Q7580061";"tt10934254";"0";;"The Troubles: A Secret History";"0"
"95532";"Q26989383";"tt6267820";"0";;"Carinha de Anjo";"0"
